AppId,Title,Description,Owners,Developer,Publisher,Genre,Tag,Rating
10,Counter-Strike,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,12338862,Valve,Valve,GenreAction,TagAction*TagFPS*TagMultiplayer*TagClassic*TagShooter*TagTeam-Based*TagCompetitive*TagFirst-Person*TagTactical*Tag1990's*Tage-sports*TagPvP*TagStrategy*TagMilitary*Tag1980s*TagScoreAttack*TagAssassin*TagSurvival*TagNinja*TagTowerDefense,98
20,Team Fortress Classic,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",5242981,Valve,Valve,GenreAction,TagAction*TagFPS*TagMultiplayer*TagClassic*TagShooter*TagClass-Based*TagTeam-Based*TagFirst-Person*TagCo-op*Tag1990's*TagCompetitive*TagFast-Paced*TagRemake*TagMod,60
30,Day of Defeat,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And, as war rages, players must work together with their squad to accomplish a variety of mission-specific objectives.",7462267,Valve,Valve,GenreAction,TagFPS*TagWorldWarII*TagMultiplayer*TagAction*TagShooter*TagTeam-Based*TagWar*TagClassic*TagClass-Based*TagFirst-Person,77
40,Deathmatch Classic,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",7350775,Valve,Valve,GenreAction,TagAction*TagFPS*TagMultiplayer*TagClassic*TagShooter*TagFirst-Person*TagArenaShooter,57
50,Half-Life: Opposing Force,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",5227872,Gearbox Software,Valve,GenreAction,TagFPS*TagAction*TagSci-fi*TagSingleplayer*TagClassic*TagShooter*TagFirst-Person*TagAliens*TagAdventure*Tag1990's*TagAtmospheric*TagMilitary*TagCo-op,90
60,Ricochet,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",7330847,Valve,Valve,GenreAction,TagAction*TagFPS*TagMultiplayer*TagFirst-Person*TagCyberpunk*TagClassic*TagConspiracy*TagSpace*TagSci-fi*TagShooter,50
70,Half-Life,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",5705359,Valve,Valve,GenreAction,TagFPS*TagClassic*TagAction*TagSci-fi*TagSingleplayer*TagShooter*TagAliens*TagFirst-Person*Tag1990's*TagAdventure*TagMultiplayer*TagStoryRich*TagAtmospheric*TagSilentProtagonist*TagModdable*TagGreatSoundtrack*TagLinear*TagRetro*TagDifficult*TagFunny,96
80,Counter-Strike: Condition Zero,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",9809586,Valve,Valve,GenreAction,TagAction*TagFPS*TagShooter*TagMultiplayer*TagTactical*TagSingleplayer*TagCompetitive*TagFirst-Person*TagClassic*TagTeam-Based*TagStrategy*TagAdventure*TagOnlineCo-Op*TagMilitary,77
130,Half-Life: Blue Shift,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",5206251,Gearbox Software,Valve,GenreAction,TagFPS*TagAction*TagSci-fi*TagSingleplayer*TagShooter*TagAliens*TagFirst-Person*TagClassic*TagAdventure*TagZombies*TagShort*Tag1990's*TagAtmospheric*TagStoryRich,77
220,Half-Life 2,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""Best PC Game Ever"" by PC Gamer, and launches a franchise with more than eight million retail units sold worldwide.
		NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors even the emotions of both friends and enemies.
		The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.
		The intense, real-time gameplay of Half-Life 2 is made possible only by Source®, Valve's new proprietary engine technology. Source provides major enhancements in:

Characters: Advanced facial animation system delivers the most sophisticated in-game characters ever seen. With 40 distinct facial ""muscles,"" human characters convey the full array of human emotion, and respond to the player with fluidity and intelligence.
Physics: From pebbles to water to 2-ton trucks respond as expected, as they obey the laws of mass, friction, gravity, and buoyancy.
Graphics: Source's shader-based renderer, like the one used at Pixar to create movies such as Toy Story® and Monster's, Inc.®, creates the most beautiful and realistic environments ever seen in a video game.
AI: Neither friends nor enemies charge blindly into the fray. They can assess threats, navigate tricky terrain, and fashion weapons from whatever is at hand.
",9531638,Valve,Valve,GenreAction,TagFPS*TagAction*TagSci-fi*TagClassic*TagSingleplayer*TagStoryRich*TagShooter*TagAdventure*TagFirst-Person*TagDystopian*TagAtmospheric*TagZombies*TagGreatSoundtrack*TagAliens*TagSilentProtagonist*TagPhysics*TagModdable*TagHorror*TagMultiplayer*TagPuzzle,98
